CONTENT,PRIORITY,DATE,REPEAT,STAR,FOLDER
Kid Boundaries + Expectations,4, ,,,Family
Kid Life Skills,4,2022-06-04 ,,,Family
Kids: Talk About Their Futures,4,2022-06-11 ,,,Family
Letters for Avah Kairos,4,2022-06-11 ,,,Family
Mother's Day Plans [WRAP GIFTS] @star,1,2023-04-01 every! year,every! year,Yes,Family
Once / Month Family Activity,4,2022-06-04 ,,,Family
Parental Controls App,4, ,,,Family
Phoebe B-Day Video Interview [CAPTURE!] @star,1,2022-11-14 every! year,every! year,Yes,Family
Phoebe BIS Sports / Activities [VOLLEYBALL VIDEOS],4,2022-06-11 ,,,Family
Piano Duet with Avah,4,2022-06-11 ,,,Family
Regular Family Meeting,3, ,,,Family
River Float,4,2022-05-28 ,,,Family
Schedule Hike / Walks with Dad,4,2022-05-30 every! 3 weeks,every! 3 weeks,,Family
Self-Defense for Girls,1, ,,,Family
Store Critical Info for Pam in Event of my Demise [LastPass],3,2022-06-04 ,,,Family
Tahoe June 2022 Trip,4,2022-05-28 ,,,Family
"Unexpected Gift, Unexpected Time",3, ,,,Family
Wedding Video [GIFTS?],4,2022-08-13 ,,,Family
Weekend Device Screen/Downtime?,4,2022-06-02 every! thursday,every! thursday,,Family
Xmas Traditions,4,2022-10-30 ,,,Family
Yosemite,1, ,,,Family
* February Property Tax Payment...,1,2023-01-28 every! year,every! year,,Finances
*December Property Tax Payment...,1,2022-10-30 every! year,every! year,,Finances
AARP?,4, ,,,Finances
Adjust HO Insurance for Remodels,3,2022-08-13 ,,,Finances
Analyze Expenses,4,2022-06-04 every! 1st friday,every! 1st friday,,Finances
Bitcoin,4, ,,,Finances
Blue Cross Blue Shield Settlement,4,2022-07-02 ,,,Finances
Commute Expenses,4,2022-06-03 every! friday,every! friday,,Finances
Download Amazon Pay Slips,4,2022-07-09 every! 8 weeks,every! 8 weeks,,Finances
EQ Insurance?,4,2022-08-13 ,,,Finances
Estate Planning Attorney,4,2022-06-04 ,,,Finances
Expense Tracking Software / Service,1, ,,,Finances
Financial Goals to Madden,4,2022-06-25 ,,,Finances
Inheritance / Estate Planning,4,2022-08-13 ,,,Finances
Invest Additional Cash,4,2022-05-30 ,,,Finances
Investing for Kids,4, ,,,Finances
Kids' 529 Accelerated Contribution Plan,4, ,,,Finances
Long Term Care Insurance Coverage?,4,2022-12-03 ,,,Finances
Organize / Scan Balboa Paperwork,3, ,,,Finances
PG&E Medical Baseline,4,2022-07-02 ,,,Finances
Paying Estimated Tax Payments,4,2023-04-16 ,,,Finances
RSUs,4,2022-07-02 ,,,Finances
Return Stetson Eyeglass Frames,4,2022-06-04 ,,,Finances
Revisit Credit Card Ownership,4,2022-06-04 ,,,Finances
UBS Visa Replacement (6/22),4,2022-06-12 ,,,Finances
Update 401K/403B Withholding Rate?,2,2022-10-01 every! year,every! year,,Finances
Update Hertz CC,4,2022-06-11 ,,,Finances
Update UBS Car Values,4,2023-01-29 every! year,every! year,,Finances
Voya Life Insurance Payment [MANUAL],2,2023-05-01 every! year,every! year,,Finances
Wills - Trust! / Other Life Docs [DISTRIBUTE COPIES],2,2022-06-04 ,,,Finances
iPad Pro AppleCare  Coverage Renewal,4,2024-05-04 ,,,Finances
CC Payoff / UBS Budget...,2,2022-06-03 every! friday,every! friday,,Habits
Haircut @star,2,2022-06-02 every! saturday,every! saturday,Yes,Habits
Homework / Study Time / Tutoring @star,4,2022-05-30 every! day,every! day,Yes,Habits
Meditation / Breathing!,3,2022-05-30 ,,,Habits
Mouthguard,4,2022-05-29 every! day,every! day,,Habits
Reboot iPhone,4,2022-06-01 every! week,every! week,,Habits
Shave @star,4,2022-05-30 every! 2 days,every! 2 days,Yes,Habits
Workout @star,2,2022-05-29 every! day,every! day,Yes,Habits
Yoga / Stretching / Rolling / Core Strength [NECK!],3,2022-05-28 every! day,every! day,,Habits
Adjust / Replace Kitchen Faucet,4,2022-06-11 ,,,Home
BO Dead Bolt Strike Plate Alignment [OR WEATHER STRIPPING],4, ,,,Home
Backyard Fence Project [LOWELL],1, ,,,Home
Blinds/Shades for BO,4, ,,,Home
Calibrate AV Receiver Speakers,2, ,,,Home
Caulking along Ceiling in Downstairs Bathroom Shower,4, ,,,Home
Clean Front Door,1, ,,,Home
Clean Gutters / Windows (inc. BO) [SUMMER],4,2022-06-04 ,,,Home
Dining Room Table Power Station / Situation,1, ,,,Home
Document Personal Possessions,4, ,,,Home
Extension Cord and Power Strip for Gazebo Lights,4, ,,,Home
Fireproof Safe Key Positions,3, ,,,Home
Fix Side Gate: Always Close All the Way,4, ,,,Home
Gardener,4, ,,,Home
Home Security,3, ,,,Home
House Maintenance Checklist & Plan,3, ,,,Home
Kitchen Sink Cabinet Repair,1,2022-06-25 ,,,Home
Ligustrum lucidum care,4,2022-06-04 ,,,Home
Mount Additional Laundry Shelf,4, ,,,Home
Mount LR WiFi Stand,4, ,,,Home
"PVC Termination Vent Caps + Couplers (2"")",4, ,,,Home
Paint Avah's Closet Door,1, ,,,Home
Plug Hole where Josh Ran Electrical Back Out to Backyard,4, ,,,Home
Project: Re-Stucco House [BIG EQ!],4,2022-12-29 ,,,Home
Quiet Bathroom Exhaust Fan w/ Light + Time Switch for BO,4, ,,,Home
Replace BO Skylight Window Weather Strips,2, ,,,Home
Replace Lemon Tree with Lime Tree,4, ,,,Home
Replace side crawl space door with something more secure,1, ,,,Home
Reseal BO Sink to Counter,3, ,,,Home
Restore Sprinklers in Front Lawn,4, ,,,Home
Sump Pump Maintenance Conditions Improvements @star,4,2022-07-30 ,,Yes,Home
Surge Protector Refresh,4,2022-08-27 ,,,Home
Termite Treatment? (BO too),4, ,,,Home
Wall Mounted Shelves / Cabinets in BO,1, ,,,Home
Water Filters for Microplastics,4, ,,,Home
AppleWatch,1, ,,,IT / Productivity
Archive iMovie Events and Projects [rsync],4, ,,,IT / Productivity
Check SpauldoNAS Health,4,2022-06-04 every! 1st friday,every! 1st friday,,IT / Productivity
Clean Up Cron / Launchd Jobs,1, ,,,IT / Productivity
Clipper Card on Family iPhones [SUPPORT],4,2022-06-04 ,,,IT / Productivity
Convert / Dedupe / Import Remaining Pix + Videos,4, ,,,IT / Productivity
Dad's Old Computer Transfer / iCloud Backup,4,2022-05-28 ,,,IT / Productivity
De-Dup / Clean NAS Media Pictures Video,1, ,,,IT / Productivity
Download Pam's Pix from iPhone,4,2022-05-30 ,,,IT / Productivity
Ethernet Runs to DR near my Spot,1, ,,,IT / Productivity
Hemingway Editor?,3, ,,,IT / Productivity
Internal DNS for SpauldoNet,4, ,,,IT / Productivity
LastPass Master Password Update,1, ,,,IT / Productivity
LastPass Security Challenge / MFA [Update 'huh?' Pwd],4,2022-07-30 ,,,IT / Productivity
LastPass Sentry,3, ,,,IT / Productivity
LastPass for Girls,4,2022-07-16 ,,,IT / Productivity
Mac Virus Protection,1, ,,,IT / Productivity
Mac Windows Management,4, ,,,IT / Productivity
Manage brypamfam Inbox,4,2022-07-19 ,,,IT / Productivity
"Migrate ""Other"" Pix (update import script(s))",3, ,,,IT / Productivity
Moom,1, ,,,IT / Productivity
Omni,4, ,,,IT / Productivity
Organize SpauldoMBP Files (Local vs. NAS),1, ,,,IT / Productivity
Pam Pix / Album - Storage?,3,2022-06-25 ,,,IT / Productivity
Pam iPhone WiFi Sync / NAS Backup,3, ,,,IT / Productivity
Pam's Domain to Google?,4,2022-06-04 ,,,IT / Productivity
Process Holding Tank Files,4,2022-06-16 every! 4 weeks,every! 4 weeks,,IT / Productivity
Prune + Organize Bookmarks,3, ,,,IT / Productivity
Prune / Organize Downloads Folder [AUTOMATION],4, every! month,every! month,,IT / Productivity
Purge Old Files / Spring Cleaning (Mac + NAS),2, ,,,IT / Productivity
Python Virtual Environments,1, ,,,IT / Productivity
Quizlette Renewal: 2/14,4,2023-01-14 ,,,IT / Productivity
Rationalize Old iMovie Library,2, ,,,IT / Productivity
Raycast,4,2022-11-26 ,,,IT / Productivity
Reconcile /media/temp folder,4, ,,,IT / Productivity
Recover iMovie Files (Overall Management),4,2022-07-16 ,,,IT / Productivity
Remove NAS Movies,2, ,,,IT / Productivity
Replace MBP Speakers,4, ,,,IT / Productivity
SaaS Data Backups,3, ,,,IT / Productivity
Scan Old Photos,4,2022-06-04 ,,,IT / Productivity
Separate Guest Network for IoT,4,2022-06-04 ,,,IT / Productivity
Setup Google Inactive Account Manager for Pam,4,2022-06-18 ,,,IT / Productivity
Table Tool,1, ,,,IT / Productivity
Todoist,1, ,,,IT / Productivity
Todoist Evaluation,4,2022-05-28 ,,,IT / Productivity
ToodleDo Backup / Todoist Conversion,2,2022-07-30 ,,,IT / Productivity
Toodledo Backup Automation (Last 5 Downloads / Timestamps),2, ,,,IT / Productivity
UPS for Network?,2, ,,,IT / Productivity
iCloud+?,4,2022-06-04 ,,,IT / Productivity
macOS Upgrades on Girls' Computers,4,2022-06-03 every! 4 weeks,every! 4 weeks,,IT / Productivity
Actual Play / TTRPG Podcasts,4, ,,,Interests
Amazon's LotR Series,4,2022-09-02 ,,,Interests
Bay Area Pathfinder Society,4, ,,,Interests
CERT / Ham Radio,4,2022-06-04 ,,,Interests
Card Games,4, ,,,Interests
Chess Rules,3, ,,,Interests
Cooking! [SEAFOOD!],3, ,,,Interests
Delta 8,4, ,,,Interests
Economist Subscription,4, ,,,Interests
Fantasy Books,4, ,,,Interests
Fascism Books,4, ,,,Interests
Fender Play Lessons App,4, ,,,Interests
Finish Movies on NAS,4, ,,,Interests
GCN Patreon Discord Server,3, ,,,Interests
Game: Gollum,4,2022-09-01 ,,,Interests
Game: Propaganda,4, ,,,Interests
Game: Stratego,4, ,,,Interests
Join The Union / Third Way,4,2022-06-11 ,,,Interests
Kombucha,4, ,,,Interests
Learn to Play Go,4, ,,,Interests
MM Legalization,4,2022-05-27 ,,,Interests
Movie: In & of Itself,4, ,,,Interests
Movie: Sound of Metal,4, ,,,Interests
Music Discovery,4,2022-05-27 ,,,Interests
Mycology,4, ,,,Interests
News Items Newsletter,2, ,,,Interests
PS4,4, ,,,Interests
PS4 Game: Hades,4, ,,,Interests
PS4: Shadow Tactics,4, ,,,Interests
Potomac RPG,4, ,,,Interests
Psychedelic News Outlets,4, ,,,Interests
Roger Waters [SUPPLIES] @star,1,2022-08-06 ,,Yes,Interests
SI Class of '89 Engagement,4, ,,,Interests
Sam Harris Making Sense Podcast,2, ,,,Interests
Series: House of the Dragon,4,2022-08-27 ,,,Interests
Settlers of Catan Game Rules,4, ,,,Interests
Spotify Playlist Discovery,3, ,,,Interests
Stargazing/Astronomy...,4, ,,,Interests
TV: The Offer,4,2022-07-01 ,,,Interests
The Passenger by Cormac McCarthy,4,2022-10-25 ,,,Interests
The Three Body Problem Podcast,4, ,,,Interests
Ukraine Situation Twitter,4, ,,,Interests
Witcher 4,4,2023-03-21 ,,,Interests
CI/CD Best Practices,2, ,,,Learning
CTO Best Practices / Body of Knowledge Research,4, ,,,Learning
Google DORA Research,4, ,,,Learning
Tech / Dev News Feeds,2, ,,,Learning
Rich Hua of AWS [E],4,2022-08-05 ,,,Networking
Smitty,4, ,,,Networking
Additional Monitor Arms...,1, ,,,Shopping
Adjustable Crescent Wrench,1, ,,,Shopping
Aeron Chair Headrest,2, ,,,Shopping
Aeron Chair Headrest @star,1, ,,Yes,Shopping
Anker PowerPort III Nanos,1, ,,,Shopping
Apple Watch,2, ,,,Shopping
Art for BO....,1, ,,,Shopping
BO Cleaning Equipment,1, ,,,Shopping
Baffin CUSH Booties / Slippers,3, ,,,Shopping
Better Case for Maui Jim Manu's,2, ,,,Shopping
Blazer / Sport Coats,1, ,,,Shopping
Bright Flood Lights for Master Bathroom,1, ,,,Shopping
CPAP Cleaning Options,2, ,,,Shopping
Camping Grill,3, ,,,Shopping
Camping Hammer / Stakes,1, ,,,Shopping
Canned Staple Foods,4, ,,,Shopping
Chromecast with GoogleTV (Travel),3, ,,,Shopping
Clothes Campaign [STITCH FIX] @star,1,2022-05-27 ,,Yes,Shopping
Computer Speakers + Microphone + Monitor,1, ,,,Shopping
Corner Standing Desk Upgrades @star,1, ,,Yes,Shopping
Crossnet Volleyball Game?,2, ,,,Shopping
Cupboard liners,3, ,,,Shopping
Device Charging Setup,1, ,,,Shopping
Digital Micro Measuring Tool,1, ,,,Shopping
Dip Station,2, ,,,Shopping
Downstairs Light Bulbs: Dimmable LED @star,1, ,,Yes,Shopping
Dunham Chelsea Boot,2, ,,,Shopping
Eyeglasses Frames {ORDERED} @star,1,2022-06-03 ,,Yes,Shopping
Face Mask + Chemical Filters,4, ,,,Shopping
Family Games,2, ,,,Shopping
Flat Cap (1920's),1, ,,,Shopping
Flex Pants (Shorts) / Tactical Belt,2, ,,,Shopping
Full-Zip Hoodie Tracksuit / Sweatsuit,2, ,,,Shopping
Gaming Rocker Chair,2, ,,,Shopping
HEPA Filter for Cars,1, ,,,Shopping
Hiking Boots,2, ,,,Shopping
Inserts for Dress Shoes?,1, ,,,Shopping
Instant Pot,1, ,,,Shopping
Instapot...,1, ,,,Shopping
Jumprope Shoes (Cross-Train),2, ,,,Shopping
Key Safe Lockbox,4, ,,,Shopping
Kreg Screws,1, ,,,Shopping
Lightweight Black Business Jacket,2, ,,,Shopping
Lime Tree,3, ,,,Shopping
Magic Keyboard Upgrades (Touch ID) @star,1, ,,Yes,Shopping
Manual Pump for Power Outages,1,2022-06-11 ,,,Shopping
Mini Ext Cord for GoogleTV,3, ,,,Shopping
NA (Light) Beer,2, ,,,Shopping
New (Personal) MBP & Gear,1, ,,,Shopping
New AppleTV 4K?,1, ,,,Shopping
New Braun Blade,3,2023-09-26 every! 2 years,every! 2 years,,Shopping
New Carry-On,4, ,,,Shopping
New Circular Saw Blade?,3, ,,,Shopping
New Herman Miller Chair?,2, ,,,Shopping
New Laptops for Girls,2, ,,,Shopping
New Master Bedroom TV,2, ,,,Shopping
Non-Sports Fitted Hat,1, ,,,Shopping
Office Chair in DR?,4, ,,,Shopping
PS5,2, ,,,Shopping
Packing Squares @star,1, ,,Yes,Shopping
Particle Filtering Mask(s),4, ,,,Shopping
Portable A/C Units / Heater / Fans,3, ,,,Shopping
Prescription Sunglasses,1, ,,,Shopping
Printer Ink?,4,2022-06-04 every! 4 weeks,every! 4 weeks,,Shopping
Recessed Wall Chamber (for Sprinkler Control Transformer),3, ,,,Shopping
Replace BO Desk Blotter...,4, ,,,Shopping
Replace UPS? (new cable?),2, ,,,Shopping
Replacement AirFit F20 CPAP Mask @star,1,2022-06-04 ,,Yes,Shopping
Running Gear,1, ,,,Shopping
Shark Vacuum Accessories,3, ,,,Shopping
Smoothie Cup(s),3, ,,,Shopping
Spotify Car Thing for Pam?,2, ,,,Shopping
Standing Fan for BO Desk,4,2022-05-30 ,,,Shopping
Stanford Mesh Hat,4, ,,,Shopping
Table Saw Dust collection attachment / adapter @star,1, ,,Yes,Shopping
Tea Options,3, ,,,Shopping
Tote?,4, ,,,Shopping
Towels,1, ,,,Shopping
Travel Pants @star,1, ,,Yes,Shopping
USB-C Adapter Keychain,4,2022-06-04 ,,,Shopping
USB-C Ethernet Adapter,1, ,,,Shopping
Under Desk Treadmill @star,1, ,,Yes,Shopping
Viking Oven Parts / Maintenance,2, ,,,Shopping
Warm Vest,4, ,,,Shopping
Weights for Patio Furniture Cover,1, ,,,Shopping
Wildfire Smoke Face Masks,1, ,,,Shopping
Windbreaker,4, ,,,Shopping
Andrew Alfers,4,2022-06-03 ,,,Social
Annual Stanford '93 Reunion Trip,4,2022-08-06 ,,,Social
Barsi: Danville [ANDREW],4, ,,,Social
Cultivate Friendships,4,2022-05-27 ,,,Social
Donahues,4, ,,,Social
Ivana,4,2022-09-04 every! 6 months,every! 6 months,,Social
Katzes,4,2022-07-02 every! 8 weeks,every! 8 weeks,,Social
Kent + Danielle Dinner,4, ,,,Social
Mark & Meg,4,2022-05-30 every! 2 months,every! 2 months,,Social
McGaraghans,4, ,,,Social
Phi Delt Hang,4,2022-06-18 ,,,Social
Quarterly Mom + Jeff,4, ,,,Social
SI Class of '89 Mini Reunions @star,2,2022-06-18 ,,Yes,Social
SIFC Board - Secretarial Duties @star,4,2022-06-03 ,,Yes,Social
St. Brendan's Reunion,4, ,,,Social
Tom Mitchell,4, ,,,Social
Travis,4,2022-09-13 every! 6 months,every! 6 months,,Social
Tres Spauldos Quarterly Connect,4,2022-06-11 every! 3 months,every! 3 months,,Social
Vic Vuchic,4,2022-06-03 ,,,Social
